query,case_title,case_url
Article 19,"Siddharam Satlingappa Mhetre vs State Of Maharashtra And Ors on 2 December, 2010",https://indiankanoon.org/docfragment/1108032/?formInput=Article%2019
Article 19,"Article 19 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1218090/
Article 19,"Section 377 in The Indian Penal Code, 1860
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1836974/
Article 19,"Article 22 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/581566/
Article 19,"Article 300A in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/120077007/
Article 19,"Article 15 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/609295/
Article 20,"Article 32 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/981147/
Article 20,"Article 20 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/655638/
Article 20,Constitution of India,https://indiankanoon.org/doc/237570/
Article 20,"Tofan Singh vs The State Of Tamil Nadu on 29 October, 2020",https://indiankanoon.org/docfragment/143202244/?formInput=Article%2020
Article 20,"Rao Shiv Bahadur Singh And Another vs The State Of Vindhya Pradesh on 22 May, 1953",https://indiankanoon.org/docfragment/1786180/?formInput=Article%2020
Article 20,"Justice K.S.Puttaswamy(Retd) And Anr. vs Union Of India And Ors. on 24 August, 2017",https://indiankanoon.org/docfragment/91938676/?formInput=Article%2020
Article 20,"M. P. Sharma And Others vs Satish Chandra, District ... on 15 March, 1954",https://indiankanoon.org/docfragment/1306519/?formInput=Article%2020
Article 20,"Directorate Of Enforcement vs Deepak Mahajan on 31 January, 1994",https://indiankanoon.org/docfragment/1013766/?formInput=Article%2020
Article 20,"Maqbool Hussain vs The State Of Bombay.Jagjit Singhv.The ... on 17 April, 1953",https://indiankanoon.org/docfragment/1815080/?formInput=Article%2020
Article 20,"Article 359 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1594774/
Article 21,"Article 21 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1199182/
Article 21,"Article 14 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/367586/
Article 21,"Siddharam Satlingappa Mhetre vs State Of Maharashtra And Ors on 2 December, 2010",https://indiankanoon.org/docfragment/1108032/?formInput=Article%2021
Article 21,"Satender Kumar Antil vs Central Bureau Of Investigation on 11 July, 2022",https://indiankanoon.org/docfragment/7148380/?formInput=Article%2021
Article 21,"Article 32 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/981147/
Article 21,"Section 377 in The Indian Penal Code, 1860
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/1836974/
Article 21,"Shri D.K. Basu,Ashok K. Johri vs State Of West Bengal,State Of U.P on 18 December, 1996",https://indiankanoon.org/docfragment/501198/?formInput=Article%2021
Article 21,"P. Chidambaram vs Directorate Of Enforcement on 5 September, 2019",https://indiankanoon.org/docfragment/90251163/?formInput=Article%2021
Article 21,"Maneka Gandhi vs Union Of India on 25 January, 1978",https://indiankanoon.org/docfragment/1766147/?formInput=Article%2021
Article 21,"Olga Tellis & Ors vs Bombay Municipal Corporation & Ors. Etc on 10 July, 1985",https://indiankanoon.org/docfragment/709776/?formInput=Article%2021
Article 22,"Article 22 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/581566/
Article 22,"A.K. Gopalan vs The State Of Madras.Union Of India: ... on 19 May, 1950",https://indiankanoon.org/docfragment/1857950/?formInput=Article%2022
Article 22,Constitution of India,https://indiankanoon.org/doc/237570/
Article 22,"Mrs. Maneka Gandhi vs Union Of India (Uoi) And Anr. on 25 January, 1978",https://indiankanoon.org/docfragment/43475503/?formInput=Article%2022
Article 22,"A. K. Roy, Etc vs Union Of India And Anr on 28 December, 1981",https://indiankanoon.org/docfragment/875590/?formInput=Article%2022
Article 22,"K.M. Abdulla Kunhi And B.L. Abdul Khader vs Union Of India And Ors., State Of ... on 23 January, 1991",https://indiankanoon.org/docfragment/1355334/?formInput=Article%2022
Article 22,"Haradhan Saha & Another vs The State Of West Bengal & Ors on 21 August, 1974",https://indiankanoon.org/docfragment/1486034/?formInput=Article%2022
Article 22,"Sophia Gulam Mohd. Bham vs State Of Maharashtra & Ors on 13 August, 1999",https://indiankanoon.org/docfragment/828208/?formInput=Article%2022
Article 22,"Section 3 in The Conservation of Foreign Exchange and Prevention of Smuggling Activities Act, 1974
          
  

  
     [Entire Act]",https://indiankanoon.org/doc/146959060/
Article 22,"Sunil Fulchand Shah vs Union Of India And Ors on 16 February, 2000",https://indiankanoon.org/docfragment/1980007/?formInput=Article%2022
Article 23,"Article 23 in Constitution of India
          
  

  
     [Constitution]",https://indiankanoon.org/doc/1071750/
Article 23,Constitution of India,https://indiankanoon.org/doc/237570/
